"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 20:03:54 UTC 2023","Tue Dec 26 20:03:54 UTC 2023","558","","Widget","","","","empty email and password fields in Widget page",""
"passed","Tue Dec 26 20:02:31 UTC 2023","Tue Dec 26 20:02:31 UTC 2023","703","","Login Mint","","","","forgot Password modal in Mint page",""
"passed","Tue Dec 26 20:02:35 UTC 2023","Tue Dec 26 20:02:37 UTC 2023","1954","","Login Mint","","","","empty password field in sign up in Mint page",""
"passed","Tue Dec 26 19:46:11 UTC 2023","Tue Dec 26 19:46:12 UTC 2023","1015","","Detail Keepers","","","","Validate DetailKeepers page - VIEW CITIZENSHIP (example #8)",""
"passed","Tue Dec 26 19:46:19 UTC 2023","Tue Dec 26 19:46:20 UTC 2023","1126","","Detail Keepers","","","","Validate DetailKeepers page - TOTAL DAILY EARN RATE (example #16)",""
"failed","Tue Dec 26 19:47:14 UTC 2023","Tue Dec 26 19:47:14 UTC 2023","248","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #13)",""
"passed","Tue Dec 26 19:46:12 UTC 2023","Tue Dec 26 19:46:13 UTC 2023","944","","Detail Keepers","","","","Validate DetailKeepers page - KEEPERS DISPATCHED (example #9)",""
"passed","Tue Dec 26 19:46:18 UTC 2023","Tue Dec 26 19:46:19 UTC 2023","916","","Detail Keepers","","","","Validate DetailKeepers page - CITIZENSHIP BONUS (example #15)",""
"failed","Tue Dec 26 19:47:16 UTC 2023","Tue Dec 26 19:47:16 UTC 2023","294","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #19)",""
"passed","Tue Dec 26 20:03:33 UTC 2023","Tue Dec 26 20:03:36 UTC 2023","3733","","Login Settings","","","","empty confirm password field in sign up in setting page",""
"failed","Tue Dec 26 19:47:15 UTC 2023","Tue Dec 26 19:47:15 UTC 2023","246","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #16)",""
"failed","Tue Dec 26 19:47:13 UTC 2023","Tue Dec 26 19:47:13 UTC 2023","261","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #10)",""
"passed","Tue Dec 26 19:57:48 UTC 2023","Tue Dec 26 19:59:13 UTC 2023","84418","","Login","","","","empty password field in sign up",""
"failed","Tue Dec 26 19:47:17 UTC 2023","Tue Dec 26 19:47:17 UTC 2023","390","","Detail Keepers settings","","","","Validate DetailKeepers Settings anchors at the left (example #1)",""
"passed","Tue Dec 26 19:46:06 UTC 2023","Tue Dec 26 19:46:07 UTC 2023","1048","","Detail Keepers","","","","Validate DetailKeepers page - YOUR POINTS (example #3)",""
"passed","Tue Dec 26 20:03:29 UTC 2023","Tue Dec 26 20:03:33 UTC 2023","3503","","Login Settings","","","","empty password field in sign up in setting page",""
"passed","Tue Dec 26 20:02:58 UTC 2023","Tue Dec 26 20:03:01 UTC 2023","2661","","Login Settings","","","","empty password field in setting page",""
"passed","Tue Dec 26 20:02:52 UTC 2023","Tue Dec 26 20:02:56 UTC 2023","3152","","Login Settings","","","","Incorrect email Login in setting page",""
"failed","Tue Dec 26 19:26:30 UTC 2023","Tue Dec 26 19:26:42 UTC 2023","11294","","Chibi","","","","Buying Chi-Bi with Ethereum123",""
"failed","Tue Dec 26 19:47:14 UTC 2023","Tue Dec 26 19:47:14 UTC 2023","279","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #14)",""
"passed","Tue Dec 26 19:52:24 UTC 2023","Tue Dec 26 19:54:06 UTC 2023","101486","","Login","","","","Successful registration",""
"failed","Tue Dec 26 19:45:28 UTC 2023","Tue Dec 26 19:45:39 UTC 2023","11276","","Chibi","","","","Validate ""CONNECT YOUR WALLET"" Section",""
"passed","Tue Dec 26 20:02:22 UTC 2023","Tue Dec 26 20:02:23 UTC 2023","924","","Login Mint","","","","empty email and password fields in Mint page",""
"failed","Tue Dec 26 19:46:37 UTC 2023","Tue Dec 26 19:46:48 UTC 2023","11554","","Detail Keepers","","","","Validate Dropdown from Nickname (example #2)",""
"passed","Tue Dec 26 19:46:15 UTC 2023","Tue Dec 26 19:46:16 UTC 2023","993","","Detail Keepers","","","","Validate DetailKeepers page - Daily Earn Rate (example #12)",""
"passed","Tue Dec 26 20:03:54 UTC 2023","Tue Dec 26 20:03:56 UTC 2023","1450","","Widget","","","","Incorrect Password Login in Widget page",""
"passed","Tue Dec 26 20:04:03 UTC 2023","Tue Dec 26 20:04:05 UTC 2023","1536","","Widget","","","","empty email field in sign up in Widget page",""
"passed","Tue Dec 26 20:02:21 UTC 2023","Tue Dec 26 20:02:22 UTC 2023","971","","Login Mint","","","","empty password field in Mint page",""
"passed","Tue Dec 26 19:46:10 UTC 2023","Tue Dec 26 19:46:11 UTC 2023","1055","","Detail Keepers","","","","Validate DetailKeepers page - Point Generators (example #7)",""
"passed","Tue Dec 26 19:45:15 UTC 2023","Tue Dec 26 19:45:16 UTC 2023","1477","","Chibi","","","","Chibi Checkout Page",""
"passed","Tue Dec 26 20:02:56 UTC 2023","Tue Dec 26 20:02:58 UTC 2023","2607","","Login Settings","","","","empty email field in setting page",""
"passed","Tue Dec 26 19:46:17 UTC 2023","Tue Dec 26 19:46:18 UTC 2023","1121","","Detail Keepers","","","","Validate DetailKeepers page - CHIBI BONUS (example #14)",""
"passed","Tue Dec 26 19:59:15 UTC 2023","Tue Dec 26 20:00:37 UTC 2023","81727","","Login","","","","empty confirm password field in sign up",""
"passed","Tue Dec 26 20:02:37 UTC 2023","Tue Dec 26 20:02:39 UTC 2023","2023","","Login Mint","","","","empty confirm password field in sign up in Mint page",""
"passed","Tue Dec 26 19:46:08 UTC 2023","Tue Dec 26 19:46:09 UTC 2023","1082","","Detail Keepers","","","","Validate DetailKeepers page - Haven (example #5)",""
"passed","Tue Dec 26 20:02:49 UTC 2023","Tue Dec 26 20:02:52 UTC 2023","3508","","Login Settings","","","","Success Login in setting page",""
"passed","Tue Dec 26 20:03:03 UTC 2023","Tue Dec 26 20:03:07 UTC 2023","3213","","Login Settings","","","","Incorrect Password Login in setting page",""
"passed","Tue Dec 26 20:04:02 UTC 2023","Tue Dec 26 20:04:03 UTC 2023","1665","","Widget","","","","empty nickname field in sign up in Widget page",""
"failed","Tue Dec 26 19:47:15 UTC 2023","Tue Dec 26 19:47:15 UTC 2023","292","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #17)",""
"failed","Tue Dec 26 19:47:11 UTC 2023","Tue Dec 26 19:47:12 UTC 2023","252","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #4)",""
"passed","Tue Dec 26 19:46:16 UTC 2023","Tue Dec 26 19:46:17 UTC 2023","888","","Detail Keepers","","","","Validate DetailKeepers page - KEEPER BONUS (example #13)",""
"passed","Tue Dec 26 20:03:53 UTC 2023","Tue Dec 26 20:03:54 UTC 2023","825","","Widget","","","","empty password field in Widget page",""
"passed","Tue Dec 26 20:03:49 UTC 2023","Tue Dec 26 20:03:51 UTC 2023","2328","","Widget","","","","Success Login in Widget page",""
"passed","Tue Dec 26 19:54:52 UTC 2023","Tue Dec 26 19:55:16 UTC 2023","24111","","Login","","","","forgot Password modal",""
"failed","Tue Dec 26 19:47:11 UTC 2023","Tue Dec 26 19:47:11 UTC 2023","223","","Detail Keepers settings","","","","Validate DetailKeepers Settings (example #3)",""
"passed","Tue Dec 26 20:03:22 UTC 2023","Tue Dec 26 20:03:25 UTC 2023","3491","","Login Settings","","","","empty nickname field in sign up in setting page",""
"passed","Tue Dec 26 20:02:15 UTC 2023","Tue Dec 26 20:02:18 UTC 2023","3105","","Login Mint","","","","Success Login in Mint page",""
"passed","Tue Dec 26 20:03:25 UTC 2023","Tue Dec 26 20:03:29 UTC 2023","3647","","Login Settings","","","","empty email field in sign up in setting page",""
"failed","Tue Dec 26 19:45:16 UTC 2023","Tue Dec 26 19:45:28 UTC 2023","11331","","Chibi","","","","ETH currency validation",""
"passed","Tue Dec 26 19:46:13 UTC 2023","Tue Dec 26 19:46:14 UTC 2023","963","","Detail Keepers","","","","Validate DetailKeepers page - CITIZENSHIP SCORE (example #10)",""
"passed","Tue Dec 26 19:51:05 UTC 2023","Tue Dec 26 19:51:57 UTC 2023","52279","","Login","","","","Incorrect Password Login",""
